TIME,VALUE,DURATION,LABEL
25.353287982,0,2.641269841,cheering
68.057687075,0,3.125986395,boos
72.759727891,0,0.017414966,cheering
83.043265306,0,3.700680272,boos
126.656145125,0,1.367074830,cheering
143.425306122,0,3.017142857,cheering
156.865306122,0,3.167346939,cheering
165.701224490,0,2.651428571,boos
168.365714286,0,4.427755102,cheering
187.997460317,0,1.036190476,boos
240.950566893,0,2.372789116,cheering
244.892154195,0,1.605079365,cheering
277.466122449,0,2.204081633,cheering
301.142857143,0,2.739591837,cheering
337.970793651,0,1.920000000,cheering
349.511111111,0,6.521904762,cheering
398.086530612,0,2.442448980,cheering
401.149387755,0,0.855510204,cheering
409.044897959,0,4.146938776,cheering
425.064489796,0,1.528163265,cheering
482.777687075,0,4.725260771,boos
489.244444444,0,1.712471655,cheering
511.994195011,0,1.602176871,cheering
532.125895692,0,3.076643991,cheering
572.185396825,0,3.281269841,cheering
595.433650794,0,1.620317460,cheering
623.409342404,0,2.705124717,boos
657.005714286,0,5.979138322,boos
663.800453515,0,2.391655329,cheering
675.840000000,0,2.908299320,boos
678.928253968,0,1.886621315,cheering
678.974693878,0,1.406258503,air_horn
689.053968254,0,0.919365079,air_horn
699.601269841,0,0.497777778,air_horn
720.013061224,0,4.153469388,boos
741.041632653,0,4.179591837,cheering
764.734693878,0,2.168163265,cheering
790.369523810,0,2.001269841,air_horn
815.095873016,0,1.155192744,cheering
824.471655329,0,2.405442177,cheering
888.616054422,0,3.326258503,cheering
892.508299320,0,1.732789116,boos
921.658049887,0,4.760090703,cheering
930.539682540,0,3.337868481,cheering
940.088888889,0,5.137414966,cheering
955.855238095,0,1.686349206,cheering
976.213333333,0,1.066666667,cheering
990.580680272,0,1.593469388,cheering
1038.344126984,0,0.792380952,air_horn
1083.415510204,0,7.745306122,cheering
1104.695147392,0,2.890884354,cheering
1137.737142857,0,7.375238095,cheering
1146.731972789,0,2.050612245,air_horn
1151.407891156,0,2.310385488,cheering
1199.203265306,0,3.369795918,cheering
1213.418231293,0,1.967891156,cheering
1286.170702948,0,3.059229025,cheering
1410.934421769,0,4.675918367,cheering
1423.177142857,0,5.993650794,cheering
1432.511564626,0,0.949115646,air_horn
1453.532879819,0,1.153741497,cheering
1484.705668934,0,0.925170068,air_horn
1531.808798186,0,0.783673469,air_horn
1549.305034014,0,7.285260771,cheering
1573.848526077,0,2.623854875,cheering
1588.837006803,0,3.761632653,cheering
1631.049795918,0,0.966530612,air_horn
1657.516553288,0,1.679818594,cheering
1668.916825397,0,3.139047619,cheering
1677.927619048,0,1.960634921,cheering
1692.052607710,0,6.922448980,boos
1699.337142857,0,0.757551020,air_horn
1846.557460317,0,0.680634921,air_horn
1877.577142857,0,6.687346939,boos
1929.149387755,0,2.507755102,cheering
1937.769795918,0,2.710204082,cheering
1952.613877551,0,0.574693878,air_horn
1959.346213152,0,0.420861678,air_horn
1988.754285714,0,3.047619048,cheering
1999.786666667,0,6.237460317,cheering
2017.671836735,0,1.371428571,cheering
2095.447074830,0,0.761904762,air_horn
2102.381133787,0,1.416417234,boos
2143.137959184,0,1.580408163,cheering
2182.530612245,0,12.355918367,cheering
2214.334693878,0,3.552653061,cheering
2218.202267574,0,1.131972789,air_horn
2264.630566893,0,3.262403628,cheering
2297.286530612,0,3.866122449,cheering
2377.943945578,0,4.005442177,cheering
2393.457777778,0,1.655873016,boos
2394.052789116,0,1.033287982,air_horn
2407.118367347,0,0.713469388,air_horn
2425.136326531,0,1.404081633,cheering
2433.493333333,0,0.878730159,cheering
2448.137868481,0,6.356462585,cheering
2472.089251701,0,16.904126984, cheering
2503.536326531,0,4.231836735,cheering
2508.917551020,0,2.886530612,cheering
2511.921632653,0,3.017142857,boos
2534.953650794,0,3.266031746,cheering
2544.071111111,0,4.597551020,cheering
2560.835918367,0,2.681904762,cheering
2576.352653061,0,0.745941043,air_horn
2595.932879819,0,2.663038549,cheering
2600.489795918,0,3.388662132,cheering
2601.273469388,0,2.102857143,air_horn
2622.526984127,0,2.245079365,air_horn
2665.904761905,0,2.517913832,cheering
2810.641995465,0,0.957823129,cheering
2820.094693878,0,0.226938776,air_horn
2871.170612245,0,2.316190476,cheering
2958.755918367,0,0.826122449,air_horn
2978.560000000,0,2.813968254,cheering
3032.441904762,0,5.140317460,boos
3073.538321995,0,2.307482993,boos
3133.503854875,0,3.308843537,cheering
3160.677006803,0,3.970612245,cheering
3174.115555556,0,1.930158730,cheering
3198.693877551,0,3.683265306,cheering
3234.242176871,0,0.667573696,air_horn
3281.915646259,0,1.277097506,cheering
3324.186122449,0,5.093877551,cheering
3349.820952381,0,3.372698413,cheering
3409.815510204,0,0.571428571,air_horn
3476.969795918,0,0.506122449,air_horn
3575.060317460,0,2.803809524,cheering
3649.712471655,0,0.885260771,air_horn
3697.319183673,0,0.805442177,cheering
3766.073469388,0,3.860317460,cheering
3788.210793651,0,2.966349206,cheering
3808.325079365,0,1.787936508,cheering
3815.627755102,0,3.931428571,cheering
3851.276190476,0,0.757551020,air_horn
3904.600816327,0,1.793741497,cheering
3920.489795918,0,1.528163265,cheering
4015.817142857,0,4.284081633,cheering
4037.857233560,0,2.310385488,cheering
4042.265396825,0,1.930158730,air_horn 
4107.818956916,0,2.461315193,cheering
4120.801814059,0,0.965079365,cheering
4199.029841270,0,0.858412698,air_horn
4222.537142857,0,9.630476190,cheering
4248.637823129,0,1.367074830,cheering
